Company,Dates,ESG_DISCLOSURE_SCORE,SOCIAL_SCORE,ESG_UNCERTAINTY_RANKING
A US Equity,2017,,,
A US Equity,2018,,,
A US Equity,2019,,,
A US Equity,2020,,,
A US Equity,2021,,,
A US Equity,2022,,,
AAL US Equity,2017,,,
AAL US Equity,2018,,,
AAL US Equity,2019,,,
AAL US Equity,2020,,,
AAL US Equity,2021,,,
AAL US Equity,2022,,,
AAP US Equity,2017,,,
AAP US Equity,2018,,,
AAP US Equity,2019,,,
AAP US Equity,2020,,,
AAP US Equity,2021,,,
AAP US Equity,2022,,,
AAPL US Equity,2017,,,
AAPL US Equity,2018,,,
AAPL US Equity,2019,,,
AAPL US Equity,2020,,,
AAPL US Equity,2021,,,
AAPL US Equity,2022,,,
ABBV US Equity,2017,,,
ABBV US Equity,2018,,,
ABBV US Equity,2019,,,
ABBV US Equity,2020,,,
ABBV US Equity,2021,,,
ABBV US Equity,2022,,,
ABC US Equity,2017,,,
ABC US Equity,2018,,,
ABC US Equity,2019,,,
ABC US Equity,2020,,,
ABC US Equity,2021,,,
ABC US Equity,2022,,,
ABMD US Equity,2017,,,
ABMD US Equity,2018,,,
ABMD US Equity,2019,,,
ABMD US Equity,2020,,,
ABMD US Equity,2021,,,
ABMD US Equity,2022,,,
ABNB US Equity,2017,,,
ABNB US Equity,2018,,,
ABNB US Equity,2019,,,
ABNB US Equity,2020,,,
ABNB US Equity,2021,,,
ABNB US Equity,2022,,,
ABT US Equity,2017,,,
ABT US Equity,2018,,,
ABT US Equity,2019,,,
ABT US Equity,2020,,,
ABT US Equity,2021,,,
ABT US Equity,2022,,,
ACGL US Equity,2017,,,
ACGL US Equity,2018,,,
ACGL US Equity,2019,,,
ACGL US Equity,2020,,,
ACGL US Equity,2021,,,
ACGL US Equity,2022,,,
ACN US Equity,2017,,,
ACN US Equity,2018,,,
ACN US Equity,2019,,,
ACN US Equity,2020,,,
ACN US Equity,2021,,,
ACN US Equity,2022,,,
ADBE US Equity,2017,,,
ADBE US Equity,2018,,,
ADBE US Equity,2019,,,
ADBE US Equity,2020,,,
ADBE US Equity,2021,,,
ADBE US Equity,2022,,,
ADI US Equity,2017,,,
ADI US Equity,2018,,,
ADI US Equity,2019,,,
ADI US Equity,2020,,,
ADI US Equity,2021,,,
ADI US Equity,2022,,,
ADM US Equity,2017,,,
ADM US Equity,2018,,,
ADM US Equity,2019,,,
ADM US Equity,2020,,,
ADM US Equity,2021,,,
ADM US Equity,2022,,,
ADP US Equity,2017,,,
ADP US Equity,2018,,,
ADP US Equity,2019,,,
ADP US Equity,2020,,,
ADP US Equity,2021,,,
ADP US Equity,2022,,,
ADSK US Equity,2017,,,
ADSK US Equity,2018,,,
ADSK US Equity,2019,,,
ADSK US Equity,2020,,,
ADSK US Equity,2021,,,
ADSK US Equity,2022,,,
AEE US Equity,2017,,,
AEE US Equity,2018,,,
AEE US Equity,2019,,,
AEE US Equity,2020,,,
AEE US Equity,2021,,,
AEE US Equity,2022,,,
AEP US Equity,2017,,,
AEP US Equity,2018,,,
AEP US Equity,2019,,,
AEP US Equity,2020,,,
AEP US Equity,2021,,,
AEP US Equity,2022,,,
AES US Equity,2017,,,
AES US Equity,2018,,,
AES US Equity,2019,,,
AES US Equity,2020,,,
AES US Equity,2021,,,
AES US Equity,2022,,,
AET US Equity,2017,,,
AET US Equity,2018,,,
AET US Equity,2019,,,
AET US Equity,2020,,,
AET US Equity,2021,,,
AET US Equity,2022,,,
AFL US Equity,2017,,,
AFL US Equity,2018,,,
AFL US Equity,2019,,,
AFL US Equity,2020,,,
AFL US Equity,2021,,,
AFL US Equity,2022,,,
AGN US Equity,2017,,,
AGN US Equity,2018,,,
AGN US Equity,2019,,,
AGN US Equity,2020,,,
AGN US Equity,2021,,,
AGN US Equity,2022,,,
AIG US Equity,2017,,,
AIG US Equity,2018,,,
AIG US Equity,2019,,,
AIG US Equity,2020,,,
AIG US Equity,2021,,,
AIG US Equity,2022,,,
AIV US Equity,2017,,,
AIV US Equity,2018,,,
AIV US Equity,2019,,,
AIV US Equity,2020,,,
AIV US Equity,2021,,,
AIV US Equity,2022,,,
AIZ US Equity,2017,,,
AIZ US Equity,2018,,,
AIZ US Equity,2019,,,
AIZ US Equity,2020,,,
AIZ US Equity,2021,,,
AIZ US Equity,2022,,,
AJG US Equity,2017,,,
AJG US Equity,2018,,,
AJG US Equity,2019,,,
AJG US Equity,2020,,,
AJG US Equity,2021,,,
AJG US Equity,2022,,,
AKAM US Equity,2017,,,
AKAM US Equity,2018,,,
AKAM US Equity,2019,,,
AKAM US Equity,2020,,,
AKAM US Equity,2021,,,
AKAM US Equity,2022,,,
ALB US Equity,2017,,,
ALB US Equity,2018,,,
ALB US Equity,2019,,,
ALB US Equity,2020,,,
ALB US Equity,2021,,,
ALB US Equity,2022,,,
ALGN US Equity,2017,,,
ALGN US Equity,2018,,,
ALGN US Equity,2019,,,
ALGN US Equity,2020,,,
ALGN US Equity,2021,,,
ALGN US Equity,2022,,,
ALK US Equity,2017,,,
ALK US Equity,2018,,,
ALK US Equity,2019,,,
ALK US Equity,2020,,,
ALK US Equity,2021,,,
ALK US Equity,2022,,,
ALL US Equity,2017,,,
ALL US Equity,2018,,,
ALL US Equity,2019,,,
ALL US Equity,2020,,,
ALL US Equity,2021,,,
ALL US Equity,2022,,,
ALLE US Equity,2017,,,
ALLE US Equity,2018,,,
ALLE US Equity,2019,,,
ALLE US Equity,2020,,,
ALLE US Equity,2021,,,
ALLE US Equity,2022,,,
ALXN US Equity,2017,,,
ALXN US Equity,2018,,,
ALXN US Equity,2019,,,
ALXN US Equity,2020,,,
ALXN US Equity,2021,,,
ALXN US Equity,2022,,,
AMAT US Equity,2017,,,
AMAT US Equity,2018,,,
AMAT US Equity,2019,,,
AMAT US Equity,2020,,,
AMAT US Equity,2021,,,
AMAT US Equity,2022,,,
AMCR US Equity,2017,,,
AMCR US Equity,2018,,,
AMCR US Equity,2019,,,
AMCR US Equity,2020,,,
AMCR US Equity,2021,,,
AMCR US Equity,2022,,,
AMD US Equity,2017,,,
AMD US Equity,2018,,,
AMD US Equity,2019,,,
AMD US Equity,2020,,,
AMD US Equity,2021,,,
AMD US Equity,2022,,,
AME US Equity,2017,,,
AME US Equity,2018,,,
AME US Equity,2019,,,
AME US Equity,2020,,,
AME US Equity,2021,,,
AME US Equity,2022,,,
AMG US Equity,2017,,,
AMG US Equity,2018,,,
AMG US Equity,2019,,,
AMG US Equity,2020,,,
AMG US Equity,2021,,,
AMG US Equity,2022,,,
AMGN US Equity,2017,,,
AMGN US Equity,2018,,,
AMGN US Equity,2019,,,
AMGN US Equity,2020,,,
AMGN US Equity,2021,,,
AMGN US Equity,2022,,,
AMP US Equity,2017,,,
AMP US Equity,2018,,,
AMP US Equity,2019,,,
AMP US Equity,2020,,,
AMP US Equity,2021,,,
AMP US Equity,2022,,,
AMT US Equity,2017,,,
AMT US Equity,2018,,,
AMT US Equity,2019,,,
AMT US Equity,2020,,,
AMT US Equity,2021,,,
AMT US Equity,2022,,,
AMZN US Equity,2017,,,
AMZN US Equity,2018,,,
AMZN US Equity,2019,,,
AMZN US Equity,2020,,,
AMZN US Equity,2021,,,
AMZN US Equity,2022,,,
ANDV US Equity,2017,,,
ANDV US Equity,2018,,,
ANDV US Equity,2019,,,
ANDV US Equity,2020,,,
ANDV US Equity,2021,,,
ANDV US Equity,2022,,,
ANET US Equity,2017,,,
ANET US Equity,2018,,,
ANET US Equity,2019,,,
ANET US Equity,2020,,,
ANET US Equity,2021,,,
ANET US Equity,2022,,,
ANSS US Equity,2017,,,
ANSS US Equity,2018,,,
ANSS US Equity,2019,,,
ANSS US Equity,2020,,,
ANSS US Equity,2021,,,
ANSS US Equity,2022,,,
AON US Equity,2017,,,
AON US Equity,2018,,,
AON US Equity,2019,,,
AON US Equity,2020,,,
AON US Equity,2021,,,
AON US Equity,2022,,,
AOS US Equity,2017,,,
AOS US Equity,2018,,,
AOS US Equity,2019,,,
AOS US Equity,2020,,,
AOS US Equity,2021,,,
AOS US Equity,2022,,,
APA US Equity,2017,,,
APA US Equity,2018,,,
APA US Equity,2019,,,
APA US Equity,2020,,,
APA US Equity,2021,,,
APA US Equity,2022,,,
APC US Equity,2017,,,
APC US Equity,2018,,,
APC US Equity,2019,,,
APC US Equity,2020,,,
APC US Equity,2021,,,
APC US Equity,2022,,,
APD US Equity,2017,,,
